"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.418 2.999 2.36 0.055 0.081 0.085
0.267 3.041 2.158 0.032 0.048 0.031
0.363 3.141 2.155 0.053 0.079 0.065
0.427 3.064 2.291 0.054 0.08 0.056
0.159 3.275 2.282 0.064 0.096 0.073
0.263 3.389 2.283 0.053 0.079 0.047
0.168 3.177 2.163 0.032 0.048 0.043
0.175 3.259 2.219 0.032 0.048 0.047
0.507 2.806 2.187 0.032 0.048 0.064
0.492 2.93 2.233 0.032 0.048 0.031
0.241 3.382 2.443 0.053 0.079 0.039
0.526 3.197 2.469 0.032 0.048 0.019
0.003 3.439 2.237 0.034 0.05 0.048
0.154 3.459 2.409 0.057 0.085 0.041
0.4 3.362 2.304 0.035 0.052 0.022
0.114 3.109 2.156 0.049 0.073 0.064
0.56 2.937 2.427 0.044 0.066 0.044
0.63 2.786 2.305 0.046 0.068 0.046
0.254 2.961 2.127 0.036 0.053 0.085
-0.157 3.255 2.059 0.05 0.074 0.074
0.309 3.14 2.249 0.058 0.086 0.075
-0.1 3.448 2.08 0.032 0.048 0.026
0.344 3.227 2.318 0.032 0.048 0.018
0.414 3.232 2.337 0.046 0.069 0.044
0.51 3.141 2.361 0.041 0.061 0.042
0.293 3.093 2.243 0.032 0.048 0.021
0.235 3.196 2.25 0.063 0.093 0.058
0.655 2.966 2.393 0.037 0.055 0.036
0.138 3.336 2.34 0.064 0.094 0.049
0.202 3.446 2.22 0.054 0.08 0.09
0.537 2.759 2.174 0.032 0.048 0.056
0.574 2.789 2.219 0.032 0.048 0.025
0.335 3.215 2.285 0.053 0.078 0.051
0.527 3.013 2.418 0.049 0.072 0.07
0.047 3.265 2.237 0.046 0.068 0.05
0.381 3.224 2.375 0.048 0.072 0.035
0.419 3.06 2.206 0.053 0.078 0.073
0.449 2.907 2.076 0.056 0.083 0.129
-0.119 3.551 2.169 0.039 0.058 0.03
0.215 3.178 2.235 0.062 0.092 0.093
0.159 3.235 2.202 0.032 0.048 0.031
0.443 2.977 2.221 0.054 0.079 0.054
0.369 3.403 2.418 0.044 0.065 0.057
0.377 3.114 2.274 0.048 0.071 0.074
0.403 3.281 2.362 0.045 0.066 0.037
0.642 3.034 2.466 0.032 0.048 0.034
0.333 3.009 2.208 0.064 0.094 0.142
0.297 3.225 2.075 0.055 0.082 0.086
0.163 3.53 2.241 0.053 0.079 0.051
0.47 2.97 2.198 0.051 0.076 0.075
0.398 3.15 2.397 0.054 0.08 0.042
0.604 2.59 2.254 0.056 0.083 0.076
0.64 2.996 2.337 0.037 0.055 0.034
0.496 2.976 2.284 0.051 0.076 0.054
0.448 2.786 2.195 0.032 0.048 0.039
0.486 2.977 2.067 0.05 0.074 0.205
0.308 3.363 2.332 0.048 0.07 0.04
0.224 3.258 2.336 0.061 0.091 0.074
0.513 2.853 2.152 0.052 0.078 0.066
0.228 3.548 2.35 0.032 0.048 0.017
0.562 2.78 2.318 0.051 0.075 0.074
0.321 3.357 2.425 0.047 0.069 0.037
0.167 3.297 2.172 0.056 0.083 0.075
0.446 2.852 2.28 0.033 0.049 0.039
0.182 3.496 2.121 0.054 0.08 0.128
0.259 3.222 2.279 0.059 0.087 0.089
0.461 2.812 2.146 0.059 0.088 0.061
0.205 3.293 2.281 0.061 0.09 0.055
0.225 3.479 2.331 0.055 0.081 0.038
0.355 3.236 2.189 0.049 0.072 0.045
0.215 3.2 2.168 0.062 0.092 0.051
0.098 3.227 2.108 0.034 0.051 0.124
0.186 3.118 2.062 0.054 0.08 0.117
0.531 3.077 2.302 0.044 0.066 0.033
0.277 3.111 2.185 0.061 0.09 0.074
0.122 3.348 2.177 0.032 0.048 0.024
0.477 2.92 2.331 0.054 0.079 0.034
0.626 2.943 2.368 0.032 0.048 0.03
0.39 2.971 2.231 0.032 0.048 0.029
0.305 3.342 2.287 0.032 0.048 0.032
0.433 3.179 2.157 0.051 0.075 0.083
0.798 2.62 2.135 0.039 0.058 0.075
0.109 3.334 2.131 0.038 0.057 0.045
0.487 2.801 2.216 0.064 0.095 0.083
0.194 2.826 2.112 0.056 0.082 0.112
0.353 2.674 2.262 0.045 0.066 0.119
0.213 3.294 2.16 0.058 0.086 0.073
0.128 3.596 2.291 0.032 0.048 0.012
0.428 3.32 2.446 0.032 0.048 0.019
0.443 3.152 2.44 0.032 0.048 0.021
0.373 3.095 2.327 0.055 0.081 0.083
0.262 3.302 2.152 0.04 0.059 0.036
0.183 3.129 2.057 0.038 0.056 0.063
0.086 3.419 2.225 0.063 0.094 0.056
0.089 3.204 2.133 0.032 0.048 0.043
0.251 2.987 2.052 0.032 0.048 0.061
0.456 2.813 2.141 0.059 0.087 0.102
0.63 2.69 2.226 0.05 0.074 0.087
0.28 3.184 2.391 0.054 0.08 0.053
0.202 3.34 2.339 0.032 0.048 0.03
0.236 3.242 2.196 0.037 0.054 0.041
0.38 3.076 2.447 0.048 0.072 0.046
0.463 3.121 2.421 0.048 0.071 0.028
0.108 3.409 2.299 0.054 0.08 0.04
0.117 3.379 2.103 0.064 0.094 0.095
0.405 3.156 2.431 0.048 0.072 0.037
0.311 3.399 2.242 0.047 0.07 0.067
0.38 3.272 2.326 0.044 0.066 0.073
0.456 3.052 2.232 0.051 0.075 0.065
0.409 3.07 2.396 0.052 0.076 0.035
0.4 3.015 2.255 0.055 0.081 0.083
0.762 2.677 2.321 0.04 0.06 0.045
0.5 2.98 2.28 0.048 0.071 0.069
0.215 3.239 2.155 0.061 0.09 0.088
0.625 2.818 2.268 0.044 0.066 0.045
0.019 3.46 2.173 0.051 0.076 0.128
0.508 3.12 2.378 0.033 0.048 0.032
0.398 3.182 2.287 0.035 0.051 0.037
0.071 3.449 2.321 0.032 0.048 0.02
0.395 3.018 2.446 0.05 0.074 0.065
0.187 3.344 2.151 0.05 0.074 0.054
0.185 3.414 2.359 0.056 0.082 0.054
0.563 2.951 2.324 0.044 0.065 0.036
0.484 2.959 2.056 0.042 0.063 0.167
0.401 3.153 2.304 0.051 0.076 0.025
0.357 3.217 2.331 0.037 0.054 0.028
0.386 3.341 2.427 0.044 0.065 0.04
0.156 3.232 2.084 0.032 0.048 0.059
0.162 3.254 2.166 0.064 0.095 0.096
0.597 2.671 2.337 0.044 0.065 0.082
0.441 2.956 2.298 0.056 0.083 0.106
0.304 3.172 2.267 0.044 0.065 0.045
0.525 2.662 2.134 0.059 0.088 0.146
0.297 2.992 2.187 0.064 0.095 0.065
0.378 3.146 2.391 0.054 0.08 0.074
0.237 3.395 2.183 0.055 0.081 0.09
0.194 3.309 2.187 0.06 0.089 0.083
0.117 3.437 2.455 0.059 0.087 0.044
0.416 3.083 2.297 0.032 0.048 0.024
0.471 3.185 2.526 0.042 0.062 0.034
0.406 3.086 2.387 0.052 0.076 0.043
0.797 2.826 2.41 0.033 0.049 0.021
0.423 3.173 2.3 0.048 0.071 0.043
0.665 2.759 2.193 0.048 0.072 0.063
0.405 2.947 2.263 0.032 0.048 0.04
0.024 3.255 2.134 0.055 0.081 0.07
0.422 3.119 2.156 0.052 0.077 0.065
-0.004 3.397 2.124 0.046 0.068 0.088
-0.069 3.542 2.179 0.048 0.07 0.04
0.472 2.908 2.106 0.054 0.079 0.078
0.58 2.976 2.38 0.044 0.065 0.041
0.534 3.162 2.393 0.042 0.062 0.041
0.191 3.181 2.203 0.04 0.059 0.068
0.397 2.745 2.128 0.061 0.09 0.127
0.577 3.245 2.486 0.033 0.049 0.026
0.545 2.726 2.217 0.059 0.087 0.071
0.56 3.162 2.444 0.032 0.048 0.031
-0.172 3.596 2.292 0.053 0.079 0.053
0.258 3.234 2.134 0.057 0.085 0.049
0.377 2.971 2.207 0.059 0.087 0.06
-0.122 3.541 2.184 0.051 0.076 0.091
0.436 3.001 2.277 0.057 0.084 0.054
0.129 3.467 2.317 0.032 0.048 0.017
0.285 3.168 2.304 0.065 0.097 0.073
0.376 3.181 2.352 0.032 0.048 0.021
0.156 3.396 2.245 0.032 0.048 0.025
0.525 3.113 2.34 0.045 0.067 0.036
0.33 3.006 2.175 0.063 0.093 0.075
0.515 2.698 2.231 0.065 0.096 0.101
0.382 2.88 2.11 0.062 0.092 0.066
0.114 3.188 2.065 0.041 0.061 0.056
0.383 3.053 2.157 0.054 0.08 0.062
0.364 3.117 2.28 0.056 0.084 0.045
0.398 3.309 2.467 0.043 0.063 0.039
0.079 3.358 2.057 0.063 0.093 0.105
0.497 3.134 2.275 0.032 0.048 0.054
0.178 3.336 2.357 0.052 0.077 0.036
0.685 2.724 2.253 0.043 0.064 0.041
0.62 2.844 2.373 0.049 0.073 0.073
0.273 3.357 2.341 0.052 0.076 0.036
0.321 3.182 2.169 0.049 0.072 0.043
0.278 3.323 2.404 0.052 0.077 0.08
0.273 2.959 2.139 0.062 0.091 0.097
0.067 3.548 2.266 0.032 0.048 0.015
0.227 3.386 2.349 0.048 0.071 0.035
0.205 3.228 2.116 0.063 0.093 0.172
0.348 3.171 2.231 0.045 0.067 0.038
0.544 3.033 2.319 0.043 0.063 0.036
0.811 2.488 2.13 0.043 0.063 0.06
0.112 3.17 2.134 0.05 0.074 0.047
0.352 3.077 2.158 0.048 0.071 0.066
0.273 3.159 2.307 0.06 0.088 0.085
0.091 3.21 2.138 0.033 0.049 0.047
0.203 3.374 2.216 0.057 0.084 0.084
0.369 2.835 2.062 0.051 0.075 0.095
0.394 2.977 2.2 0.057 0.084 0.077
0.278 3.412 2.397 0.048 0.072 0.038
0.583 2.967 2.237 0.044 0.065 0.043
0.363 3.217 2.51 0.049 0.073 0.057
0.397 3.084 2.355 0.041 0.061 0.05
0.125 3.372 2.155 0.063 0.093 0.077
0.566 2.84 2.125 0.032 0.048 0.06
0.254 3.305 2.468 0.032 0.048 0.017
0.812 3.032 2.543 0.032 0.048 0.04
0.3 2.983 2.085 0.038 0.057 0.078
0.117 3.258 2.247 0.043 0.063 0.056
0.422 3.044 2.297 0.047 0.07 0.03
0.505 2.938 2.25 0.054 0.081 0.089
0.323 2.927 2.082 0.032 0.048 0.03
0.449 2.805 2.205 0.064 0.094 0.082
0.379 2.865 2.11 0.062 0.092 0.075
0.305 3.253 2.289 0.057 0.084 0.033
0.312 3.14 2.388 0.058 0.086 0.058
0.307 3.091 2.216 0.054 0.08 0.057
0.385 2.969 2.279 0.06 0.089 0.052
0.176 3.223 2.099 0.052 0.078 0.121
0.777 2.682 2.319 0.042 0.063 0.071
0.063 3.53 2.223 0.063 0.093 0.05
0.337 2.97 2.216 0.052 0.077 0.121
0.395 3.344 2.43 0.032 0.048 0.012
0.379 3.272 2.325 0.05 0.074 0.027
0.499 3.123 2.316 0.048 0.071 0.065
0.712 2.475 2.2 0.055 0.081 0.076
-0.101 3.53 2.086 0.032 0.048 0.027
0.136 3.39 2.363 0.032 0.048 0.013
0.701 2.65 2.338 0.05 0.074 0.04
0.604 2.826 2.196 0.046 0.069 0.059
0.708 2.58 2.237 0.05 0.074 0.05
0.452 3.164 2.394 0.049 0.072 0.036
0.409 3.096 2.153 0.051 0.076 0.111
0.59 2.663 2.256 0.059 0.087 0.081
0.303 3.279 2.272 0.052 0.077 0.084
0.531 2.825 2.182 0.057 0.084 0.069
0.416 3.109 2.436 0.054 0.08 0.03
0.161 3.172 2.1 0.042 0.063 0.056
0.609 3.164 2.478 0.032 0.048 0.018
0.751 2.865 2.364 0.036 0.054 0.035
0.312 3.104 2.205 0.063 0.093 0.081
0.278 3.23 2.219 0.047 0.07 0.092
0.004 2.994 2.08 0.061 0.091 0.059
0.501 3.177 2.315 0.043 0.063 0.038
0.916 2.453 2.269 0.039 0.057 0.083
0.433 3.039 2.211 0.045 0.067 0.036
0.483 3.046 2.289 0.05 0.073 0.038
0.541 2.845 2.256 0.055 0.082 0.095
0.595 3.104 2.358 0.032 0.048 0.018
0.339 2.889 2.117 0.054 0.08 0.091
0.339 3.197 2.371 0.04 0.059 0.06
0.534 2.671 2.094 0.059 0.088 0.113
0.112 3.501 2.342 0.059 0.087 0.064
0.362 3.278 2.502 0.047 0.07 0.064
0.648 2.939 2.408 0.038 0.057 0.026
0.738 2.92 2.258 0.032 0.048 0.032
0.667 2.829 2.324 0.043 0.064 0.084
0.378 3.172 2.44 0.051 0.075 0.055
0.474 3.176 2.369 0.032 0.048 0.022
0.489 2.931 2.306 0.053 0.078 0.057
0.19 3.393 2.134 0.057 0.084 0.066
0.553 2.547 2.18 0.039 0.058 0.065
0.471 3.211 2.328 0.032 0.048 0.059
0.204 3.386 2.255 0.058 0.086 0.089
0.397 3.053 2.179 0.039 0.058 0.118
0.398 3.056 2.105 0.049 0.072 0.07
0.417 3.286 2.397 0.034 0.05 0.024
0.15 3.311 2.284 0.064 0.094 0.089
-0.062 3.504 2.124 0.055 0.081 0.045
0.301 3.13 2.226 0.061 0.09 0.067
0.326 3.432 2.491 0.044 0.066 0.034
0.256 3.308 2.373 0.055 0.081 0.04
0.376 2.914 2.101 0.051 0.076 0.071
0.373 2.984 2.159 0.058 0.086 0.078
0.566 2.98 2.358 0.038 0.056 0.063
0.062 3.437 2.342 0.06 0.088 0.041
0.564 3.06 2.405 0.032 0.048 0.041
0.422 3.203 2.254 0.038 0.057 0.055
0.265 3.294 2.357 0.033 0.049 0.039
0.355 3.183 2.301 0.046 0.068 0.045
0.636 2.857 2.209 0.035 0.051 0.068
0.249 3.183 2.246 0.05 0.074 0.046
0.221 3.058 2.084 0.043 0.064 0.108
0.105 3.655 2.479 0.032 0.048 0.012
0.553 2.67 2.133 0.032 0.048 0.021
0.395 3.224 2.247 0.051 0.076 0.038
0.39 3.113 2.164 0.056 0.082 0.104
0.283 3.356 2.355 0.054 0.08 0.056
0.195 3.316 2.353 0.062 0.092 0.039
0.289 3.403 2.348 0.039 0.058 0.067
0.361 3.389 2.304 0.032 0.048 0.014
0.221 3.32 2.301 0.032 0.048 0.021
0.493 2.992 2.241 0.032 0.048 0.039
0.538 2.997 2.435 0.047 0.07 0.039
0.547 2.959 2.296 0.046 0.068 0.062
0.247 3.162 2.157 0.032 0.048 0.039
0.239 3.242 2.135 0.059 0.087 0.1
0.292 3.281 2.123 0.053 0.078 0.049
0.504 3.04 2.372 0.046 0.069 0.034
0.783 2.918 2.541 0.032 0.048 0.028
0.431 3.239 2.421 0.034 0.05 0.047
0.362 3.153 2.313 0.037 0.054 0.03
0.81 2.554 2.137 0.044 0.065 0.101
0.124 3.412 2.32 0.062 0.092 0.066
0.387 3.13 2.245 0.037 0.055 0.061
0.711 2.518 2.051 0.054 0.08 0.166
0.261 3.356 2.381 0.032 0.048 0.024
0.427 3.336 2.45 0.032 0.048 0.018
0.173 3.303 2.116 0.032 0.048 0.026
0.4 3.119 2.14 0.055 0.082 0.123
0.162 3.261 2.293 0.059 0.087 0.042
-0.037 3.189 2.078 0.057 0.085 0.106
0.724 2.493 2.063 0.051 0.075 0.208
0.352 3.365 2.393 0.032 0.048 0.024
0.338 3.357 2.363 0.05 0.074 0.049
-0.126 3.466 2.066 0.055 0.082 0.2
0.613 2.783 2.275 0.048 0.071 0.05
0.323 3.055 2.31 0.06 0.089 0.046
0.202 3.188 2.3 0.053 0.078 0.038
0.809 2.944 2.495 0.032 0.048 0.047
0.563 3.014 2.233 0.047 0.069 0.113
0.341 2.897 2.32 0.04 0.06 0.04
0.328 3.321 2.407 0.051 0.075 0.053
0.043 3.579 2.332 0.055 0.082 0.038
0.443 3.068 2.39 0.032 0.048 0.028
0.589 2.985 2.369 0.041 0.061 0.048
0.416 3.176 2.31 0.038 0.057 0.041
-0.194 3.376 2.195 0.064 0.095 0.112
0.261 3.138 2.118 0.037 0.055 0.046
0.034 3.17 2.097 0.054 0.08 0.059
0.028 3.288 2.2 0.042 0.062 0.046
0.296 3.163 2.195 0.058 0.086 0.085
0.475 3.012 2.304 0.054 0.079 0.067
0.094 3.161 2.122 0.055 0.081 0.077
0.7 2.827 2.305 0.04 0.059 0.039
0.604 3.076 2.468 0.032 0.048 0.022
0.102 3.352 2.243 0.049 0.072 0.044
0.248 3.332 2.366 0.035 0.051 0.023
0.505 3.152 2.377 0.033 0.05 0.025
0.197 3.245 2.383 0.032 0.048 0.03
0.13 3.583 2.209 0.044 0.066 0.042
0.467 3.141 2.403 0.032 0.048 0.021
0.785 2.911 2.486 0.032 0.048 0.044
0.362 3.192 2.336 0.048 0.071 0.03
0.353 3.253 2.35 0.037 0.055 0.026
0.144 3.391 2.318 0.061 0.091 0.061
0.321 3.069 2.139 0.036 0.054 0.043
0.456 3.337 2.487 0.039 0.057 0.025
0.468 2.859 2.112 0.057 0.085 0.103
0.266 3.13 2.244 0.063 0.093 0.077
0.253 3.228 2.353 0.061 0.091 0.033
0.052 3.528 2.29 0.038 0.057 0.04
0.665 3.055 2.443 0.033 0.049 0.024
0.366 2.981 2.275 0.06 0.09 0.052
0.257 3.292 2.205 0.032 0.048 0.02
0.153 3.306 2.148 0.04 0.059 0.161
0.352 3.355 2.434 0.032 0.048 0.021
0.276 3.118 2.256 0.06 0.089 0.065
0.34 3.275 2.334 0.043 0.063 0.031
0.687 2.795 2.184 0.032 0.048 0.045
0.33 3.229 2.297 0.052 0.076 0.031
0.513 2.967 2.4 0.037 0.055 0.039
0.133 3.312 2.234 0.064 0.095 0.083
0.162 3.222 2.237 0.055 0.082 0.034
-0.041 3.494 2.142 0.045 0.067 0.081
0.171 3.31 2.274 0.061 0.09 0.052
0.23 3.331 2.325 0.04 0.06 0.029
0.255 3.18 2.222 0.061 0.09 0.041
0.533 3.218 2.381 0.037 0.055 0.029
0.258 3.253 2.172 0.046 0.068 0.052
-0.087 3.529 2.101 0.04 0.06 0.041
0.197 3.408 2.397 0.032 0.048 0.02
0.443 3.041 2.195 0.032 0.048 0.045
0.44 3.156 2.325 0.034 0.051 0.029
0.704 2.912 2.386 0.034 0.05 0.032
0.541 2.741 2.21 0.032 0.048 0.049
0.605 2.921 2.364 0.032 0.048 0.021
0.754 2.52 2.154 0.032 0.048 0.041
0.165 3.327 2.29 0.061 0.09 0.04
0.498 3.11 2.266 0.032 0.048 0.021
0.561 2.972 2.364 0.032 0.048 0.072
0.31 3.233 2.351 0.041 0.06 0.059
0.391 3.196 2.384 0.052 0.077 0.03
0.402 3.069 2.393 0.032 0.048 0.023
0.239 3.275 2.413 0.052 0.077 0.029
0.317 3.243 2.378 0.056 0.083 0.058
0.467 3.032 2.28 0.052 0.077 0.047
0.362 3.241 2.144 0.037 0.055 0.04
0.58 2.803 2.273 0.037 0.055 0.031
0.545 3.223 2.506 0.032 0.048 0.016
-0.005 3.196 2.087 0.054 0.08 0.059
0.242 3.373 2.254 0.053 0.078 0.051
0.545 3.043 2.178 0.044 0.064 0.057
0.583 3.236 2.518 0.032 0.048 0.022
0.225 3.159 2.06 0.063 0.093 0.081
0.853 2.558 2.314 0.038 0.056 0.05
0.365 3.172 2.31 0.032 0.048 0.026
0.358 3.016 2.202 0.06 0.088 0.069
0.212 3.205 2.133 0.062 0.091 0.08
0.163 3.198 2.154 0.056 0.083 0.043
-0.091 3.604 2.335 0.044 0.066 0.023
0.304 3.151 2.201 0.059 0.087 0.056
0.611 2.933 2.332 0.043 0.063 0.071
0.605 3.011 2.388 0.037 0.054 0.06
0.119 3.38 2.142 0.052 0.077 0.037
0.459 2.982 2.157 0.032 0.048 0.03
0.744 3.027 2.482 0.032 0.048 0.029
0.13 3.387 2.265 0.035 0.052 0.025
0.343 3.239 2.333 0.04 0.059 0.023
0.155 3.342 2.202 0.061 0.09 0.055
0.262 3.227 2.284 0.057 0.084 0.035
0.443 3.101 2.265 0.032 0.048 0.017
0.819 2.787 2.472 0.032 0.048 0.026
0.8 2.719 2.302 0.032 0.048 0.037
0.62 2.986 2.414 0.04 0.059 0.039
0.342 3.318 2.335 0.032 0.048 0.041
0.018 3.597 2.319 0.039 0.057 0.042
-0.028 3.309 2.284 0.035 0.052 0.031
0.262 3.062 2.083 0.055 0.082 0.104
0.397 3.105 2.264 0.053 0.078 0.041
0.003 3.51 2.369 0.044 0.064 0.076
0.46 2.911 2.258 0.055 0.081 0.047
-0.178 3.671 2.307 0.064 0.096 0.038
0.24 3.31 2.126 0.055 0.081 0.097
0.562 2.994 2.359 0.032 0.048 0.021
0.152 2.943 2.061 0.054 0.081 0.093
0.048 3.607 2.234 0.058 0.086 0.089
0.562 3.065 2.455 0.039 0.058 0.063
0.066 3.562 2.25 0.032 0.048 0.019
0.225 3.187 2.25 0.032 0.048 0.032
0.595 3.041 2.345 0.037 0.055 0.036
0.354 3.207 2.242 0.048 0.071 0.057
0.833 2.67 2.36 0.035 0.052 0.049
0.284 3.32 2.314 0.053 0.079 0.084
0.285 3.314 2.306 0.053 0.079 0.068
0.326 3.18 2.26 0.043 0.064 0.031
0.516 3.028 2.472 0.046 0.069 0.031
0.19 3.487 2.36 0.054 0.081 0.04
0.281 3.074 2.172 0.051 0.076 0.096
0.522 3.114 2.316 0.042 0.063 0.086
0.258 3.151 2.159 0.062 0.092 0.09
0.206 3.441 2.391 0.055 0.081 0.044
0.452 3.148 2.345 0.047 0.069 0.059
0.518 2.748 2.13 0.058 0.086 0.059
0.006 3.487 2.307 0.06 0.089 0.061
0.633 2.854 2.376 0.044 0.065 0.029
0.263 3.137 2.258 0.038 0.056 0.063
0.624 3.059 2.425 0.036 0.054 0.018
0.69 2.762 2.123 0.042 0.062 0.064
0.08 3.344 2.193 0.044 0.066 0.047
0.255 3.092 2.137 0.04 0.059 0.073
0.6 3.02 2.419 0.032 0.048 0.02
0.598 2.921 2.202 0.044 0.065 0.096
0.394 3.063 2.309 0.055 0.081 0.058
0.957 2.788 2.475 0.032 0.048 0.032
0.697 2.767 2.223 0.042 0.063 0.047
0.338 2.716 2.059 0.061 0.091 0.094
0.061 3.47 2.144 0.032 0.048 0.055
0.253 3.351 2.274 0.055 0.081 0.028
0.209 3.284 2.462 0.061 0.091 0.054
0.131 3.288 2.065 0.034 0.05 0.045
0.328 3.061 2.238 0.06 0.089 0.104
0.242 3.142 2.329 0.064 0.095 0.058
0.35 2.961 2.336 0.063 0.093 0.076
-0.29 3.737 2.177 0.037 0.054 0.037
-0.209 3.269 2.101 0.062 0.092 0.095
0.147 3.53 2.378 0.056 0.083 0.04
0.285 3.166 2.44 0.032 0.048 0.022
0.168 3.228 2.362 0.064 0.094 0.046
0.299 3.218 2.273 0.057 0.084 0.046
0.046 3.486 2.351 0.054 0.08 0.036
0.074 3.47 2.153 0.062 0.092 0.094
-0.01 3.46 2.341 0.056 0.083 0.04
0.075 3.486 2.114 0.064 0.094 0.118
0.417 3.007 2.193 0.055 0.082 0.061
0.216 3.116 2.058 0.035 0.052 0.039
0.249 3.306 2.269 0.057 0.084 0.06
0.717 2.707 2.298 0.041 0.06 0.039
0.355 3.046 2.239 0.059 0.087 0.066
0.277 3.306 2.372 0.045 0.067 0.031
0.432 2.976 2.325 0.055 0.082 0.066
-0.164 3.737 2.113 0.064 0.094 0.119
0.501 3.034 2.297 0.047 0.07 0.041
0.041 3.55 2.336 0.055 0.081 0.073
0.897 2.582 2.322 0.035 0.052 0.03
0.225 3.303 2.352 0.059 0.087 0.055
0.226 3.471 2.326 0.052 0.077 0.03
0.009 3.064 2.126 0.052 0.078 0.084
0.411 3.406 2.473 0.036 0.053 0.02
0.259 3.171 2.23 0.052 0.077 0.057
0.477 3.037 2.369 0.032 0.048 0.026
0.71 2.979 2.469 0.033 0.048 0.027
0.342 3.005 2.264 0.061 0.091 0.06
0.379 3.129 2.325 0.056 0.083 0.049
0.271 2.82 2.055 0.032 0.048 0.071
0.247 3.034 2.129 0.034 0.051 0.045
0.4 3.255 2.323 0.032 0.048 0.015
-0.228 3.634 2.174 0.054 0.08 0.059
0.286 3.249 2.16 0.056 0.083 0.126
0.244 3.089 2.104 0.063 0.093 0.145
0.441 3.3 2.393 0.032 0.048 0.022
0.174 3.461 2.507 0.057 0.084 0.075
0.294 3.101 2.276 0.063 0.094 0.062
0.254 3.119 2.232 0.037 0.054 0.041
0.379 3.261 2.479 0.05 0.073 0.036
0.032 3.496 2.278 0.063 0.093 0.055
0.581 2.909 2.241 0.04 0.059 0.063
0.342 3.278 2.313 0.05 0.075 0.063
0.491 2.895 2.081 0.042 0.062 0.073
0.153 3.335 2.315 0.063 0.094 0.049
-0.066 3.667 2.364 0.04 0.06 0.029
0.352 3.083 2.197 0.057 0.085 0.056
0.259 3.177 2.24 0.048 0.071 0.045
0.317 3.269 2.339 0.04 0.059 0.042
0.403 3.13 2.286 0.032 0.048 0.034
0.316 3.094 2.288 0.032 0.048 0.029
0.075 3.171 2.201 0.052 0.077 0.076
0.289 3.377 2.238 0.051 0.075 0.049
0.323 3.163 2.312 0.057 0.084 0.048
0.261 3.252 2.23 0.056 0.083 0.044
0.53 3.057 2.408 0.046 0.068 0.044
0.699 3.122 2.542 0.032 0.048 0.029
0.345 3.147 2.236 0.05 0.074 0.043
0.741 2.73 2.359 0.032 0.048 0.023
0.356 3.233 2.441 0.051 0.076 0.046
0.398 2.855 2.18 0.063 0.093 0.076
0.435 2.957 2.449 0.059 0.087 0.048
0.632 2.594 2.146 0.055 0.082 0.107
0.869 2.725 2.512 0.032 0.048 0.049
0.283 3.093 2.131 0.064 0.095 0.07
0.117 3.376 2.075 0.054 0.08 0.086
0.246 3.077 2.175 0.064 0.095 0.111
0.252 3.326 2.328 0.056 0.082 0.039
0.451 2.855 2.07 0.059 0.087 0.124
0.263 3.169 2.364 0.058 0.086 0.06
0.373 3.148 2.252 0.052 0.077 0.038
0.645 3.091 2.461 0.035 0.052 0.034
0.514 3.128 2.25 0.042 0.063 0.063
0.118 3.395 2.14 0.054 0.08 0.064
0.583 2.966 2.293 0.044 0.065 0.03
0.541 2.996 2.181 0.046 0.068 0.052
0.47 2.87 2.358 0.057 0.084 0.049
0.528 2.899 2.294 0.046 0.069 0.038
0.017 3.398 2.199 0.045 0.067 0.051
0.621 2.927 2.223 0.046 0.068 0.102
0.548 2.883 2.184 0.038 0.056 0.048
0.401 2.724 2.158 0.047 0.069 0.095
0.197 3.253 2.19 0.063 0.093 0.073
0.261 3.256 2.22 0.058 0.086 0.068
0.136 3.361 2.317 0.064 0.094 0.038
0.381 2.932 2.276 0.034 0.051 0.038
0.139 3.553 2.51 0.057 0.085 0.049
0.388 3.165 2.354 0.051 0.076 0.043
0.489 3.016 2.285 0.049 0.073 0.036
0.502 3.067 2.365 0.047 0.07 0.032
0.188 3.429 2.219 0.032 0.048 0.057
0.411 3.117 2.248 0.041 0.061 0.047
0.6 2.903 2.168 0.033 0.05 0.069
0.648 2.436 2.189 0.061 0.091 0.112
0.363 3.235 2.437 0.05 0.075 0.042
0.693 3.038 2.472 0.033 0.048 0.036
0.314 3.295 2.362 0.053 0.079 0.039
0.575 2.836 2.24 0.05 0.074 0.042
0.619 2.942 2.364 0.04 0.059 0.034
0.008 3.397 2.114 0.032 0.048 0.039
0.404 2.792 2.205 0.049 0.072 0.062
0.331 3.214 2.331 0.056 0.083 0.034
0.004 3.505 2.338 0.052 0.076 0.038
0.375 3.1 2.414 0.056 0.083 0.074
0.531 3.267 2.489 0.032 0.048 0.022
0.184 3.166 2.144 0.041 0.06 0.049
0.361 3.291 2.34 0.049 0.072 0.052
0.378 3.051 2.284 0.06 0.088 0.121
0.303 3.146 2.278 0.061 0.09 0.05
0.587 2.75 2.132 0.044 0.066 0.06
0.581 2.811 2.277 0.049 0.072 0.057
0.096 3.508 2.211 0.032 0.048 0.016
0.322 3.127 2.226 0.059 0.088 0.053
0.581 2.992 2.243 0.038 0.057 0.03
0.473 3.082 2.278 0.046 0.069 0.057
0.778 2.67 2.369 0.036 0.054 0.052
0.412 3.127 2.253 0.037 0.056 0.047
0.144 3.155 2.106 0.053 0.079 0.065
