"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.375 2.695 2.056 0.042 0.063 0.076
0.568 2.646 2.198 0.057 0.084 0.08
0.306 3.141 2.191 0.032 0.048 0.03
0.472 2.999 2.267 0.054 0.08 0.054
0.211 3.252 2.09 0.061 0.091 0.101
0.168 3.374 2.225 0.032 0.048 0.021
0.188 3.336 2.27 0.051 0.075 0.03
0.06 3.497 2.215 0.063 0.093 0.089
0.466 3.179 2.436 0.047 0.069 0.034
0.289 3.149 2.305 0.062 0.092 0.054
0.058 3.311 2.215 0.055 0.082 0.067
0.044 3.493 2.33 0.052 0.077 0.024
0.333 2.992 2.227 0.064 0.095 0.071
0.623 2.669 2.267 0.055 0.081 0.056
0.582 3.258 2.466 0.034 0.05 0.016
0.453 3.29 2.476 0.043 0.064 0.051
0.357 3.166 2.361 0.032 0.048 0.019
0.222 3.108 2.091 0.032 0.048 0.034
0.443 2.987 2.249 0.032 0.048 0.036
0.285 3.136 2.245 0.032 0.048 0.019
0.334 2.816 2.073 0.041 0.061 0.054
0.448 2.889 2.3 0.053 0.078 0.044
0.402 3.148 2.194 0.035 0.052 0.067
0.527 2.86 2.176 0.055 0.081 0.061
0.092 3.435 2.299 0.06 0.089 0.041
0.498 3.088 2.424 0.047 0.069 0.061
0.252 3.19 2.218 0.057 0.085 0.055
0.121 3.341 2.252 0.063 0.093 0.057
0.097 3.701 2.297 0.054 0.08 0.05
0.268 3.238 2.146 0.059 0.087 0.123
0.347 3.057 2.224 0.055 0.081 0.064
0.438 2.996 2.264 0.049 0.072 0.045
0.375 3.085 2.235 0.049 0.073 0.033
0.326 2.844 2.204 0.064 0.094 0.086
0.451 3.099 2.229 0.037 0.055 0.063
0.08 3.382 2.196 0.056 0.083 0.087
0.153 3.232 2.129 0.064 0.094 0.066
0.239 3.157 2.23 0.057 0.085 0.098
0.384 3.125 2.228 0.055 0.082 0.055
0.303 3.2 2.336 0.05 0.074 0.048
-0.069 3.554 2.287 0.053 0.078 0.025
0.149 3.31 2.287 0.044 0.066 0.024
0.087 3.503 2.368 0.06 0.089 0.051
0.407 2.998 2.156 0.051 0.076 0.109
0.004 3.389 2.137 0.054 0.081 0.052
0.26 2.897 2.141 0.061 0.09 0.08
0.657 2.521 2.2 0.05 0.074 0.041
0.324 3.425 2.318 0.032 0.048 0.016
0.408 2.947 2.18 0.059 0.088 0.085
0.094 3.454 2.297 0.054 0.08 0.029
0.398 3.155 2.411 0.042 0.062 0.044
0.322 3.049 2.192 0.064 0.094 0.055
0.515 3.088 2.241 0.04 0.059 0.03
0.181 3.45 2.386 0.058 0.085 0.059
0.426 2.976 2.21 0.05 0.075 0.043
0.221 3.35 2.392 0.06 0.089 0.044
0.455 2.95 2.267 0.032 0.048 0.041
0.29 3.105 2.226 0.045 0.067 0.071
0.268 3.224 2.393 0.053 0.079 0.051
0.188 3.247 2.365 0.051 0.075 0.041
0.31 3.001 2.087 0.053 0.079 0.118
0.562 2.91 2.375 0.042 0.063 0.033
0.402 2.974 2.233 0.036 0.054 0.021
0.632 3.02 2.402 0.032 0.048 0.018
0.233 3.239 2.229 0.063 0.093 0.073
0.161 3.172 2.123 0.064 0.095 0.099
0.252 3.237 2.302 0.054 0.08 0.046
0.062 3.445 2.216 0.032 0.048 0.047
0.514 2.682 2.313 0.055 0.082 0.068
0.097 3.345 2.082 0.064 0.094 0.107
0.19 3.211 2.391 0.041 0.06 0.045
0.132 3.436 2.188 0.061 0.091 0.112
0.39 3.4 2.441 0.032 0.048 0.017
0.249 3.191 2.252 0.063 0.093 0.061
0.399 2.702 2.222 0.048 0.071 0.031
0.215 3.144 2.238 0.059 0.087 0.067
0.152 3.244 2.157 0.062 0.092 0.068
0.221 3.409 2.235 0.032 0.048 0.015
0.185 3.29 2.159 0.049 0.073 0.058
0.143 3.514 2.35 0.052 0.077 0.114
0.552 2.852 2.117 0.032 0.048 0.025
0.447 2.958 2.242 0.054 0.08 0.078
0.164 3.037 2.178 0.064 0.095 0.105
-0.007 3.486 2.237 0.045 0.066 0.034
0.204 3.172 2.138 0.061 0.09 0.069
0.447 2.919 2.294 0.059 0.087 0.052
0.54 2.645 2.136 0.06 0.088 0.106
0.471 2.712 2.183 0.032 0.048 0.067
0.34 3.033 2.159 0.054 0.08 0.061
0.27 3.221 2.327 0.032 0.048 0.013
0.205 3.364 2.342 0.06 0.089 0.045
0.055 3.572 2.254 0.032 0.048 0.016
0.26 3.202 2.25 0.061 0.091 0.062
0.181 3.068 2.172 0.034 0.05 0.035
0.64 2.721 2.145 0.043 0.064 0.075
0.221 3.267 2.31 0.059 0.088 0.041
0.499 2.976 2.144 0.052 0.078 0.08
0.244 3.027 2.165 0.062 0.091 0.07
0.707 2.481 2.17 0.055 0.082 0.09
0.684 2.71 2.101 0.048 0.071 0.068
0.131 3.48 2.233 0.05 0.075 0.048
0.413 2.945 2.258 0.059 0.087 0.045
0.312 3.179 2.344 0.052 0.076 0.043
0.844 2.901 2.496 0.032 0.048 0.028
0.021 3.408 2.13 0.047 0.07 0.055
0.247 3.438 2.461 0.039 0.058 0.025
0.279 3.069 2.259 0.048 0.071 0.025
0.309 3.158 2.238 0.048 0.072 0.036
0.286 3.098 2.151 0.032 0.048 0.07
0.217 3.341 2.326 0.059 0.088 0.101
0.382 2.667 2.063 0.033 0.048 0.06
0.079 3.242 2.128 0.043 0.063 0.052
0.136 3.333 2.338 0.054 0.08 0.062
0.52 3.11 2.374 0.032 0.048 0.024
